group,name,model,description,clock_ghz,array_rows,array_cols,bidirectional,systolic_units,vector_cores,access_cores,vec_simd,exp_lat,access_bw,dma_channels,hbm_bw_tb_s,hbm_lat_cycles,ibuf_kb,obuf_kb,stage_double_buffer,model_sram,tile_rows,tile_cols,mode,num_layers,hidden_dim,head_dim,intermediate_dim,num_q_heads,num_kv_heads,gqa_group,prompt_len,gen_steps,max_seq_len,kv_cache,cycles,MACs,hbm_bytes,systolic_util_pct,systolic_0_util_pct,systolic_1_util_pct,dma_util_pct,vec_util_pct,access_util_pct,roofline_eff_pct,roofline_bound,compute_bound_cyc,memory_bound_cyc,ttft_ns,decode_tps,tflops_achieved,hbm_bw_achieved_tb_s,tflops_peak,hbm_util_pct,arith_intensity,ttft_per_token_ns,bytes_per_token,systolic_imbalance,mem_compute_ratio,ffn_mac_pct,attn_mac_pct,ffn_attn_crossover_tok,pub_hbm_util_pct,pub_tps_bs1,calib_hbm_err_pct,wall_s,peak_rss_mb,status
1a_array_size,arr64_pd,8b,array=64x64 tile=64 [undersize 6% util] [mode=prefill_decode],1.0,64,64,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,64,64,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,1495729733,2136231444480,34357854208,54.8279,62.1315,47.5242,51.3333,15.3473,1.30475,8.71716,compute-bound,130385000.0,17178900.0,1495730000.0,1369.9,2.8564,0.023,32.768,1.15,62.18,730336.91,16768108,14.61,0.132,72.7,27.3,12288,,,,96.5,,OK
1a_array_size,arr64_dec,8b,array=64x64 tile=64 [undersize 6% util] [mode=decode],1.0,64,64,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,64,64,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,61820378,1370030080,2538811392,52.0975,66.5082,37.6867,33.782,0.316343,0.447503,2.05338,memory-bound,83620.0,1269410.0,61820400.0,16.1759,0.0443,0.0411,32.768,2.05,0.54,,2538811392,28.82,15.181,72.7,27.3,12288,,,,3.8,,OK
1a_array_size,arr128_pd,8b,array=128x128 tile=128 [undersize 25% util] [mode=prefill_decode],1.0,128,128,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,128,128,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,408409701,2140526411776,34355757056,56.3387,65.3288,47.3486,65.3608,35.3372,4.77844,7.99732,compute-bound,32661800.0,17177900.0,408410000.0,5017.02,10.4823,0.0841,131.072,4.21,62.3,199418.95,16767085,17.98,0.526,72.7,27.3,12288,,,,15.7,,OK
1a_array_size,arr128_dec,8b,array=128x128 tile=128 [undersize 25% util] [mode=decode],1.0,128,128,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,128,128,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,26636314,1370030080,2538811392,66.9152,83.7536,50.0768,41.3285,0.473667,1.03861,4.7657,memory-bound,20905.0,1269410.0,26636300.0,37.5427,0.1029,0.0953,131.072,4.76,0.54,,2538811392,33.68,60.723,72.7,27.3,12288,,,,1.2,,OK
1a_array_size,arr256_pd,8b,array=256x256 tile=256 [EXACT FIT — tiler passthrough] [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,414638661,2149116346368,34354708480,65.4025,74.1419,56.663,34.0986,27.8594,4.70665,4.14273,memory-bound,8198230.0,17177400.0,414639000.0,4941.65,10.3662,0.0829,524.288,4.15,62.56,202460.45,16766573,17.48,2.095,72.7,27.3,12288,,,,10.1,,OK
1a_array_size,arr256_dec,8b,array=256x256 tile=256 [EXACT FIT — tiler passthrough] [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,28439970,1370030080,2538811392,74.4237,90.1294,58.718,21.6389,0.340823,0.972744,4.46346,memory-bound,5227.0,1269410.0,28440000.0,35.1618,0.0963,0.0893,524.288,4.46,0.54,,2538811392,31.41,242.856,72.7,27.3,12288,,,,0.8,,OK
1a_array_size,arr512_pd,8b,array=512x512 tile=512 [oversize 4 internal passes/instr] [mode=prefill_decode],1.0,512,512,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,512,512,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,504169213,2166296215552,34354184192,73.8324,80.5959,67.069,15.7478,21.0954,3.87084,3.40701,memory-bound,2065940.0,17177100.0,504169000.0,4064.11,8.5935,0.0681,2097.152,3.4,63.06,246176.27,16766317,13.53,8.314,72.7,27.3,12288,,,,7.9,,OK
1a_array_size,arr512_dec,8b,array=512x512 tile=512 [oversize 4 internal passes/instr] [mode=decode],1.0,512,512,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,512,512,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,34361502,1370030080,2538811392,81.0522,94.0155,68.0889,10.8463,0.239545,0.80511,3.69427,memory-bound,1307.0,1269410.0,34361500.0,29.1023,0.0797,0.0739,2097.152,3.69,0.54,,2538811392,25.93,971.239,72.7,27.3,12288,,,,0.6,,OK
1b_systolic_units,sys1x_pd,8b,systolic_units=1 [mode=prefill_decode],1.0,256,256,True,1,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,633997301,2149116346368,34354708480,85.5473,,,22.3007,18.2202,3.07818,2.70937,memory-bound,16396500.0,17177400.0,633997000.0,3231.87,6.7796,0.0542,262.144,2.71,62.56,309568.85,16766573,,1.048,72.7,27.3,12288,,,,10.5,,OK
1b_systolic_units,sys1x_dec,8b,systolic_units=1 [mode=decode],1.0,256,256,True,1,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,45139346,1370030080,2538811392,93.7811,,,13.6336,0.214735,0.612876,2.81219,memory-bound,10453.0,1269410.0,45139300.0,22.1536,0.0607,0.0562,262.144,2.81,0.54,,2538811392,,121.44,72.7,27.3,12288,,,,0.8,,OK
