group,name,model,description,clock_ghz,array_rows,array_cols,bidirectional,systolic_units,vector_cores,access_cores,vec_simd,exp_lat,access_bw,dma_channels,hbm_bw_tb_s,hbm_lat_cycles,ibuf_kb,obuf_kb,stage_double_buffer,model_sram,tile_rows,tile_cols,mode,num_layers,hidden_dim,head_dim,intermediate_dim,num_q_heads,num_kv_heads,gqa_group,prompt_len,gen_steps,max_seq_len,kv_cache,cycles,MACs,hbm_bytes,systolic_util_pct,systolic_0_util_pct,systolic_1_util_pct,dma_util_pct,vec_util_pct,access_util_pct,roofline_eff_pct,roofline_bound,compute_bound_cyc,memory_bound_cyc,ttft_ns,decode_tps,tflops_achieved,hbm_bw_achieved_tb_s,tflops_peak,hbm_util_pct,arith_intensity,ttft_per_token_ns,bytes_per_token,systolic_imbalance,mem_compute_ratio,ffn_mac_pct,attn_mac_pct,ffn_attn_crossover_tok,pub_hbm_util_pct,pub_tps_bs1,calib_hbm_err_pct,wall_s,peak_rss_mb,status
3e_decode_ctx,ctx512,1b,mode=decode  ctx=512  kv=0.07GB  true_decode_tps,1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,512,32,8192,True,834581599,40652242944,79647604736,72.11,89.2365,54.9836,23.4733,0.218531,0.314501,4.77171,memory-bound,155076.0,39823800.0,834582000.0,38.3426,0.0974,0.0954,524.288,4.77,0.51,,2488987648,34.25,256.802,80.0,20.0,12288,,,,34.3,2375,OK
3e_decode_ctx,ctx1024,1b,mode=decode  ctx=1024  kv=0.13GB  true_decode_tps,1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,1024,32,8192,True,859747423,41725984768,80184475648,72.9264,89.5515,56.3013,22.8262,0.261682,0.549222,4.66326,memory-bound,159172.0,40092200.0,859747000.0,37.2202,0.0971,0.0933,524.288,4.67,0.52,,2505764864,33.25,251.88,77.4,22.6,12288,,,,23.2,2550,OK
3e_decode_ctx,ctx2048,1b,mode=decode  ctx=2048  kv=0.27GB  true_decode_tps,1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,32,8192,True,910079071,43873468416,81258217472,74.4237,90.1294,58.718,21.6394,0.340824,0.97972,4.46435,memory-bound,167364.0,40629100.0,910079000.0,35.1618,0.0964,0.0893,524.288,4.46,0.54,,2539319296,31.41,242.759,72.7,27.3,12288,,,,50.0,2899,OK
3e_decode_ctx,ctx4096,1b,mode=decode  ctx=4096  kv=0.54GB  true_decode_tps,1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,4096,32,8192,True,1010742367,48168435712,83405701120,76.9709,91.1124,62.8294,19.6204,0.475463,1.71209,4.12596,memory-bound,183748.0,41702900.0,1010740000.0,31.6599,0.0953,0.0825,524.288,4.12,0.58,,2606428160,28.28,226.957,64.9,35.1,12288,,,,41.4,3626,OK
3e_decode_ctx,ctx8192,1b,mode=decode  ctx=8192  kv=1.07GB  true_decode_tps,1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,8192,32,8224,True,1212068959,56758370304,87700668416,80.7961,92.5887,69.0035,16.5885,0.677649,2.81189,3.61781,memory-bound,216516.0,43850300.0,1212070000.0,26.4011,0.0937,0.0724,524.288,3.62,0.65,,2740645888,23.59,202.527,53.3,46.7,12288,,,,149.0,5214,OK


# ===== CALIBRATION REFERENCE =====
# Metric : hbm_util_pct = hbm_bw_achieved / hbm_bw_peak
# Target : ±20% of pub_hbm_util_pct  with  stage_double_buffer=ON
# NOT absolute TPS (single array ≠ full GPU)
# chip,hbm_bw_tb_s,pub_bs1_tps,pub_hbm_util_pct
# H100_SXM5,3.35,120,58.3
# A100_SXM4,2.0,70,56.9
# TPUv4_chip,1.2,43,58.3
