group,name,model,description,clock_ghz,array_rows,array_cols,bidirectional,systolic_units,vector_cores,access_cores,vec_simd,exp_lat,access_bw,dma_channels,hbm_bw_tb_s,hbm_lat_cycles,ibuf_kb,obuf_kb,stage_double_buffer,model_sram,tile_rows,tile_cols,mode,num_layers,hidden_dim,head_dim,intermediate_dim,num_q_heads,num_kv_heads,gqa_group,prompt_len,gen_steps,max_seq_len,kv_cache,cycles,MACs,hbm_bytes,systolic_util_pct,systolic_0_util_pct,systolic_1_util_pct,dma_util_pct,vec_util_pct,access_util_pct,roofline_eff_pct,roofline_bound,compute_bound_cyc,memory_bound_cyc,ttft_ns,decode_tps,tflops_achieved,hbm_bw_achieved_tb_s,tflops_peak,hbm_util_pct,arith_intensity,ttft_per_token_ns,bytes_per_token,systolic_imbalance,mem_compute_ratio,ffn_mac_pct,attn_mac_pct,ffn_attn_crossover_tok,pub_hbm_util_pct,pub_tps_bs1,calib_hbm_err_pct,wall_s,peak_rss_mb,status
4a_gqa_8b,kv32_MHA_pd,8b,8B kv_heads=32 gqa_group=1 (MHA — full KV) [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,32,1,2048,1,8192,True,424437621,2355375439872,38381436928,68.6174,74.8535,62.3813,35.365,28.0813,5.71017,4.52145,memory-bound,8985040.0,19190700.0,424438000.0,4827.56,11.0988,0.0904,524.288,4.52,61.37,207245.12,18731790,12.47,2.136,66.7,33.3,12288,,,,11.7,1236,OK
4a_gqa_8b,kv32_MHA_dec,8b,8B kv_heads=32 gqa_group=1 (MHA — full KV) [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,32,1,2048,32,8192,True,927547487,47094693888,94198169600,77.0918,90.5092,63.6744,23.304,0.340588,3.70158,5.07781,memory-bound,179652.0,47099100.0,927547000.0,34.4996,0.1015,0.1016,524.288,5.08,0.5,,2943692800,26.83,262.169,66.7,33.3,12288,,,,47.5,3402,OK
4a_gqa_8b,kv8_GQA-4_pd,8b,8B kv_heads=8 gqa_group=4 (GQA-4 — default Llama-3-8B) [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,414638661,2149116346368,34354708480,65.4025,74.1419,56.663,34.0986,27.8594,4.70665,4.14273,memory-bound,8198230.0,17177400.0,414639000.0,4941.65,10.3662,0.0829,524.288,4.15,62.56,202460.45,16766573,17.48,2.095,72.7,27.3,12288,,,,11.6,1122,OK
4a_gqa_8b,kv8_GQA-4_dec,8b,8B kv_heads=8 gqa_group=4 (GQA-4 — default Llama-3-8B) [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,32,8192,True,910079071,43873468416,81258217472,74.4237,90.1294,58.718,21.6394,0.340824,0.97972,4.46435,memory-bound,167364.0,40629100.0,910079000.0,35.1618,0.0964,0.0893,524.288,4.46,0.54,,2539319296,31.41,242.759,72.7,27.3,12288,,,,28.3,2899,OK
4a_gqa_8b,kv4_GQA-8_pd,8b,8B kv_heads=4 gqa_group=8 (GQA-8) [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,4,8,2048,1,8192,True,413419205,2114739830784,33683587072,64.7869,73.9534,55.6204,33.8478,27.7936,4.53023,4.07378,memory-bound,8067090.0,16841800.0,413419000.0,4956.23,10.2305,0.0815,524.288,4.08,62.78,201864.75,16439037,18.33,2.088,73.8,26.2,12288,,,,10.4,1109,OK
4a_gqa_8b,kv4_GQA-8_dec,8b,8B kv_heads=4 gqa_group=8 (GQA-8) [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,4,8,2048,32,8192,True,907445343,43336597504,79101558784,73.9464,90.0443,57.8485,21.3492,0.34076,0.515726,4.35848,memory-bound,165316.0,39550800.0,907445000.0,35.2638,0.0955,0.0872,524.288,4.36,0.55,,2471923712,32.2,239.244,73.8,26.2,12288,,,,56.0,2840,OK
4a_gqa_8b,kv2_GQA-16_pd,8b,8B kv_heads=2 gqa_group=16 (GQA-16) [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,2,16,2048,1,8192,True,412780037,2097551572992,33348026368,64.4824,73.8506,55.1141,33.7242,27.7625,4.44195,4.03944,memory-bound,8001520.0,16674000.0,412780000.0,4963.9,10.163,0.0808,524.288,4.04,62.9,201552.73,16275269,18.74,2.084,74.4,25.6,12288,,,,12.3,1103,OK
4a_gqa_8b,kv2_GQA-16_dec,8b,8B kv_heads=2 gqa_group=16 (GQA-16) [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,2,16,2048,32,8192,True,906128479,43068162048,78023229440,73.7067,90.0016,57.4118,21.2035,0.340728,0.282718,4.30531,memory-bound,164292.0,39011600.0,906128000.0,35.3151,0.0951,0.0861,524.288,4.3,0.55,,2438225920,32.59,237.453,74.4,25.6,12288,,,,37.8,2813,OK
4a_gqa_8b,kv1_MQA_pd,8b,8B kv_heads=1 gqa_group=32 (MQA — minimum KV bandwidth) [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,1,32,2048,1,8192,True,412494917,2088957444096,33180246016,64.5269,73.8123,55.2416,33.6595,27.7446,4.39734,4.0219,memory-bound,7968740.0,16590100.0,412495000.0,4967.33,10.1284,0.0804,524.288,4.02,62.96,201413.57,16193385,18.57,2.082,74.7,25.3,12288,,,,10.1,1103,OK
4a_gqa_8b,kv1_MQA_dec,8b,8B kv_heads=1 gqa_group=32 (MQA — minimum KV bandwidth) [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,1,32,2048,32,8192,True,906126431,42933944320,77484064768,73.7069,90.0018,57.4119,21.1152,0.340465,0.16584,4.27557,memory-bound,163780.0,38742000.0,906126000.0,35.3152,0.0948,0.0855,524.288,4.28,0.55,,2421377024,32.59,236.549,74.7,25.3,12288,,,,25.5,2804,OK
