group,name,model,description,clock_ghz,array_rows,array_cols,bidirectional,systolic_units,vector_cores,access_cores,vec_simd,exp_lat,access_bw,dma_channels,hbm_bw_tb_s,hbm_lat_cycles,ibuf_kb,obuf_kb,stage_double_buffer,model_sram,tile_rows,tile_cols,mode,num_layers,hidden_dim,head_dim,intermediate_dim,num_q_heads,num_kv_heads,gqa_group,prompt_len,gen_steps,max_seq_len,kv_cache,cycles,MACs,hbm_bytes,systolic_util_pct,systolic_0_util_pct,systolic_1_util_pct,dma_util_pct,vec_util_pct,access_util_pct,roofline_eff_pct,roofline_bound,compute_bound_cyc,memory_bound_cyc,ttft_ns,decode_tps,tflops_achieved,hbm_bw_achieved_tb_s,tflops_peak,hbm_util_pct,arith_intensity,ttft_per_token_ns,bytes_per_token,systolic_imbalance,mem_compute_ratio,ffn_mac_pct,attn_mac_pct,ffn_attn_crossover_tok,pub_hbm_util_pct,pub_tps_bs1,calib_hbm_err_pct,wall_s,peak_rss_mb,status
1a_array_size,arr32_pd,8b,array=32x32 tile=32 plen=32 mseq=96 [undersize 1% array util] [mode=prefill_decode],1.0,32,32,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,32,32,prefill_decode,32,4096,128,14336,32,8,4,32,1,96,True,1366564796,231645380608,30033354752,51.5703,61.7021,41.4384,42.9449,2.89279,0.0926832,4.13841,compute-bound,56554000.0,15016700.0,1366560000.0,24.1481,0.339,0.022,8.192,1.1,7.71,42705000.0,910101659,20.26,0.266,80.7,19.3,21504,,,,134.0,,OK
1a_array_size,arr32_dec,8b,array=32x32 tile=32 plen=32 mseq=96 [undersize 1% array util] [mode=decode],1.0,32,32,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,32,32,decode,32,4096,128,14336,32,8,4,32,1,96,True,664705294,7513309184,15014330368,53.0411,63.3755,42.7068,36.9103,0.360421,0.00904702,1.1294,memory-bound,1834300.0,7507170.0,664705000.0,1.50443,0.0226,0.0226,8.192,1.13,0.5,,15014330368,20.67,4.093,80.7,19.3,21504,,,,67.1,,OK
1a_array_size,arr64_pd,8b,array=64x64 tile=64 plen=64 mseq=128 [undersize 6% array util] [mode=prefill_decode],1.0,64,64,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,64,64,prefill_decode,32,4096,128,14336,32,8,4,64,1,128,True,709204823,455797374976,30046724096,49.7685,59.6974,39.8396,49.4554,5.40717,0.350123,3.92266,compute-bound,27819700.0,15023400.0,709205000.0,91.6519,1.2854,0.0424,32.768,2.12,15.17,11081328.12,462257294,19.86,0.54,80.6,19.4,21504,,,,38.0,,OK
1a_array_size,arr64_dec,8b,array=64x64 tile=64 plen=64 mseq=128 [undersize 6% array util] [mode=decode],1.0,64,64,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,64,64,decode,32,4096,128,14336,32,8,4,64,1,128,True,336559098,7521697792,15018524672,52.495,62.6961,42.294,37.5773,0.191881,0.022736,2.23119,memory-bound,459088.0,7509260.0,336559000.0,2.97125,0.0447,0.0446,32.768,2.23,0.5,,15018524672,20.4,16.357,80.6,19.4,21504,,,,19.1,,OK
1a_array_size,arr128_pd,8b,array=128x128 tile=128 plen=128 mseq=192 [undersize 25% array util] [mode=prefill_decode],1.0,128,128,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,128,128,prefill_decode,32,4096,128,14336,32,8,4,128,1,192,True,286030653,905711976448,30073462784,61.906,74.081,49.731,62.1033,13.8713,1.71945,5.25704,memory-bound,13820100.0,15036700.0,286031000.0,451.001,6.333,0.1051,131.072,5.25,30.12,2234617.19,233127618,24.35,1.088,80.4,19.6,21504,,,,9.4,,OK
1a_array_size,arr128_dec,8b,array=128x128 tile=128 plen=128 mseq=192 [undersize 25% array util] [mode=decode],1.0,128,128,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,128,128,decode,32,4096,128,14336,32,8,4,128,1,192,True,125489146,7538475008,15026913280,70.7086,84.4763,56.941,53.0528,0.272913,0.0870896,5.98734,memory-bound,115028.0,7513460.0,125489000.0,7.96882,0.1201,0.1197,131.072,5.99,0.5,,15026913280,27.54,65.319,80.4,19.6,21504,,,,4.7,,OK
1a_array_size,arr256_pd,8b,array=256x256 tile=256 plen=256 mseq=320 [EXACT FIT — tiler passthrough] [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,32,4096,128,14336,32,8,4,256,1,320,True,450193289,1811983630336,44085583872,72.4353,82.5836,62.2871,34.0664,11.9665,2.17424,4.8963,memory-bound,6912170.0,22042800.0,450193000.0,570.866,8.0498,0.0979,524.288,4.9,41.1,1758566.41,171539237,20.3,3.189,80.0,20.0,21504,,,,10.6,,OK
1a_array_size,arr256_dec,8b,array=256x256 tile=256 plen=256 mseq=320 [EXACT FIT — tiler passthrough] [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,32,4096,128,14336,32,8,4,256,1,320,True,142296842,7572029440,15043690496,78.3842,90.4479,66.3204,26.1087,0.164083,0.122859,5.28602,memory-bound,28885.0,7521850.0,142297000.0,7.02756,0.1064,0.1057,524.288,5.29,0.5,,15043690496,24.13,260.407,80.0,20.0,21504,,,,3.5,,OK
1a_array_size,arr512_pd,8b,array=512x512 tile=512 plen=256 mseq=320 [oversize 4 internal passes/instr] [mode=prefill_decode],1.0,512,512,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,512,512,prefill_decode,32,4096,128,14336,32,8,4,256,1,320,True,558890425,1811983630336,44085583872,82.1281,90.2938,73.9623,15.7237,7.2509,1.75138,3.94403,memory-bound,1728040.0,22042800.0,558890000.0,459.84,6.4842,0.0789,2097.152,3.94,41.1,2183164.06,171539237,16.33,12.756,80.0,20.0,21504,,,,8.7,,OK
1a_array_size,arr512_dec,8b,array=512x512 tile=512 plen=256 mseq=320 [oversize 4 internal passes/instr] [mode=decode],1.0,512,512,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,512,512,decode,32,4096,128,14336,32,8,4,256,1,320,True,183384770,7572029440,15043690496,84.8371,94.198,75.4763,12.233,0.0944386,0.0953318,4.10167,memory-bound,7222.0,7521850.0,183385000.0,5.45302,0.0826,0.082,2097.152,4.1,0.5,,15043690496,18.72,1041.519,80.0,20.0,21504,,,,2.9,,OK
