group,name,model,description,clock_ghz,array_rows,array_cols,bidirectional,systolic_units,vector_cores,access_cores,vec_simd,exp_lat,access_bw,dma_channels,hbm_bw_tb_s,hbm_lat_cycles,ibuf_kb,obuf_kb,stage_double_buffer,model_sram,tile_rows,tile_cols,mode,num_layers,hidden_dim,head_dim,intermediate_dim,num_q_heads,num_kv_heads,gqa_group,prompt_len,gen_steps,max_seq_len,kv_cache,cycles,MACs,hbm_bytes,systolic_util_pct,systolic_0_util_pct,systolic_1_util_pct,dma_util_pct,vec_util_pct,access_util_pct,roofline_eff_pct,roofline_bound,compute_bound_cyc,memory_bound_cyc,ttft_ns,decode_tps,tflops_achieved,hbm_bw_achieved_tb_s,tflops_peak,hbm_util_pct,arith_intensity,ttft_per_token_ns,bytes_per_token,systolic_imbalance,mem_compute_ratio,ffn_mac_pct,attn_mac_pct,ffn_attn_crossover_tok,pub_hbm_util_pct,pub_tps_bs1,calib_hbm_err_pct,wall_s,peak_rss_mb,status
1a_array_size,arr64_pd,1b,array=64x64 tile=64 [undersize 6% util] [mode=prefill_decode],1.0,64,64,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,64,64,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,32.768,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1a_array_size,arr64_dec,1b,array=64x64 tile=64 [undersize 6% util] [mode=decode],1.0,64,64,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,64,64,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,32.768,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1a_array_size,arr128_pd,1b,array=128x128 tile=128 [undersize 25% util] [mode=prefill_decode],1.0,128,128,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,128,128,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,131.072,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1a_array_size,arr128_dec,1b,array=128x128 tile=128 [undersize 25% util] [mode=decode],1.0,128,128,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,128,128,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,131.072,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1a_array_size,arr256_pd,1b,array=256x256 tile=256 [EXACT FIT — tiler passthrough] [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1a_array_size,arr256_dec,1b,array=256x256 tile=256 [EXACT FIT — tiler passthrough] [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1a_array_size,arr512_pd,1b,array=512x512 tile=512 [oversize 4 internal passes/instr] [mode=prefill_decode],1.0,512,512,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,512,512,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,2097.152,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1a_array_size,arr512_dec,1b,array=512x512 tile=512 [oversize 4 internal passes/instr] [mode=decode],1.0,512,512,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,512,512,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,2097.152,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1b_systolic_units,sys1x_pd,1b,systolic_units=1 [mode=prefill_decode],1.0,256,256,True,1,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,262.144,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1b_systolic_units,sys1x_dec,1b,systolic_units=1 [mode=decode],1.0,256,256,True,1,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,262.144,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1b_systolic_units,sys2x_pd,1b,systolic_units=2 [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1b_systolic_units,sys2x_dec,1b,systolic_units=2 [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1b_systolic_units,sys3x_pd,1b,systolic_units=3 [mode=prefill_decode],1.0,256,256,True,3,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,786.432,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1b_systolic_units,sys3x_dec,1b,systolic_units=3 [mode=decode],1.0,256,256,True,3,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,786.432,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1b_systolic_units,sys4x_pd,1b,systolic_units=4 [mode=prefill_decode],1.0,256,256,True,4,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,1048.576,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1b_systolic_units,sys4x_dec,1b,systolic_units=4 [mode=decode],1.0,256,256,True,4,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,1048.576,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1c_bidirectional,unidir_pd,1b,"bidirectional=False  (bidir=2 MACs/cell/cycle, unidir=1) [mode=prefill_decode]",1.0,256,256,False,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,262.144,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1c_bidirectional,unidir_dec,1b,"bidirectional=False  (bidir=2 MACs/cell/cycle, unidir=1) [mode=decode]",1.0,256,256,False,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,262.144,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1c_bidirectional,bidir_pd,1b,"bidirectional=True  (bidir=2 MACs/cell/cycle, unidir=1) [mode=prefill_decode]",1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1c_bidirectional,bidir_dec,1b,"bidirectional=True  (bidir=2 MACs/cell/cycle, unidir=1) [mode=decode]",1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1d_vector_cores,vc1_pd,1b,vector_cores=1 [mode=prefill_decode],1.0,256,256,True,2,1,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1d_vector_cores,vc1_dec,1b,vector_cores=1 [mode=decode],1.0,256,256,True,2,1,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1d_vector_cores,vc2_pd,1b,vector_cores=2 [mode=prefill_decode],1.0,256,256,True,2,2,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1d_vector_cores,vc2_dec,1b,vector_cores=2 [mode=decode],1.0,256,256,True,2,2,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1d_vector_cores,vc3_pd,1b,vector_cores=3 [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1d_vector_cores,vc3_dec,1b,vector_cores=3 [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1d_vector_cores,vc6_pd,1b,vector_cores=6 [mode=prefill_decode],1.0,256,256,True,2,6,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1d_vector_cores,vc6_dec,1b,vector_cores=6 [mode=decode],1.0,256,256,True,2,6,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd16_exp4_pd,1b,simd=16 exp_lat=4  [narrow SIMD baseline] [mode=prefill_decode],1.0,256,256,True,2,3,1,16,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd16_exp4_dec,1b,simd=16 exp_lat=4  [narrow SIMD baseline] [mode=decode],1.0,256,256,True,2,3,1,16,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd32_exp4_pd,1b,simd=32 exp_lat=4  [half-width] [mode=prefill_decode],1.0,256,256,True,2,3,1,32,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd32_exp4_dec,1b,simd=32 exp_lat=4  [half-width] [mode=decode],1.0,256,256,True,2,3,1,32,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd64_exp2_pd,1b,"simd=64 exp_lat=2  [default SIMD, fast exp] [mode=prefill_decode]",1.0,256,256,True,2,3,1,64,2,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd64_exp2_dec,1b,"simd=64 exp_lat=2  [default SIMD, fast exp] [mode=decode]",1.0,256,256,True,2,3,1,64,2,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd64_exp4_pd,1b,"simd=64 exp_lat=4  [default SIMD, default exp] [mode=prefill_decode]",1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd64_exp4_dec,1b,"simd=64 exp_lat=4  [default SIMD, default exp] [mode=decode]",1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd64_exp8_pd,1b,"simd=64 exp_lat=8  [default SIMD, slow exp — shows attn sensitivity] [mode=prefill_decode]",1.0,256,256,True,2,3,1,64,8,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd64_exp8_dec,1b,"simd=64 exp_lat=8  [default SIMD, slow exp — shows attn sensitivity] [mode=decode]",1.0,256,256,True,2,3,1,64,8,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd128_exp4_pd,1b,simd=128 exp_lat=4  [wide SIMD — benefit peaks at long seq] [mode=prefill_decode],1.0,256,256,True,2,3,1,128,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1e_simd_exp,simd128_exp4_dec,1b,simd=128 exp_lat=4  [wide SIMD — benefit peaks at long seq] [mode=decode],1.0,256,256,True,2,3,1,128,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1f_access_bw,abw32_pd,1b,access_core.bandwidth=32 [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,32,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1f_access_bw,abw32_dec,1b,access_core.bandwidth=32 [mode=decode],1.0,256,256,True,2,3,1,64,4,32,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1f_access_bw,abw64_pd,1b,access_core.bandwidth=64 [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
1f_access_bw,abw64_dec,1b,access_core.bandwidth=64 [mode=decode],1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,,0,,,72.7,27.3,12288,,,,0.0,,OK
1f_access_bw,abw128_pd,1b,access_core.bandwidth=128 [mode=prefill_decode],1.0,256,256,True,2,3,1,64,4,128,1,2.0,200,4096,4096,True,True,256,256,prefill_decode,16,2048,64,8192,32,8,4,2048,1,8192,True,,,,,,,,,,,,,,,,0.0,0.0,524.288,0.0,,0.0,0,,,72.7,27.3,12288,,,,0.0,,OK
