group,name,model,description,clock_ghz,array_rows,array_cols,bidirectional,systolic_units,vector_cores,access_cores,vec_simd,exp_lat,access_bw,dma_channels,hbm_bw_tb_s,hbm_lat_cycles,ibuf_kb,obuf_kb,stage_double_buffer,model_sram,tile_rows,tile_cols,mode,num_layers,hidden_dim,head_dim,intermediate_dim,num_q_heads,num_kv_heads,gqa_group,prompt_len,gen_steps,max_seq_len,kv_cache,cycles,MACs,hbm_bytes,systolic_util_pct,systolic_0_util_pct,systolic_1_util_pct,dma_util_pct,vec_util_pct,access_util_pct,roofline_eff_pct,roofline_bound,compute_bound_cyc,memory_bound_cyc,ttft_ns,decode_tps,tflops_achieved,hbm_bw_achieved_tb_s,tflops_peak,hbm_util_pct,arith_intensity,ttft_per_token_ns,bytes_per_token,systolic_imbalance,mem_compute_ratio,ffn_mac_pct,attn_mac_pct,ffn_attn_crossover_tok,pub_hbm_util_pct,pub_tps_bs1,calib_hbm_err_pct,wall_s,peak_rss_mb,status
3e_decode_ctx,ctx512,8b,mode=decode  ctx=512  kv=0.07GB  true_decode_tps,1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,512,32,8192,True,26080674,1269366784,2488479744,72.11,89.2365,54.9836,23.4727,0.21853,0.306894,4.77074,memory-bound,4843.0,1244240.0,26080700.0,1226.96,0.0973,0.0954,524.288,4.77,0.51,,77764992,34.25,256.915,80.0,20.0,12288,,,,0.6,,OK
3e_decode_ctx,ctx1024,8b,mode=decode  ctx=1024  kv=0.13GB  true_decode_tps,1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,1024,32,8192,True,26867106,1302921216,2505256960,72.9264,89.5515,56.3013,22.8257,0.261681,0.541837,4.66231,memory-bound,4971.0,1252630.0,26867100.0,1191.05,0.097,0.0932,524.288,4.66,0.52,,78289280,33.25,251.988,77.4,22.6,12288,,,,0.7,,OK
3e_decode_ctx,ctx2048,8b,mode=decode  ctx=2048  kv=0.27GB  true_decode_tps,1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,2048,32,8192,True,28439970,1370030080,2538811392,74.4237,90.1294,58.718,21.6389,0.340823,0.972744,4.46346,memory-bound,5227.0,1269410.0,28440000.0,1125.18,0.0963,0.0893,524.288,4.46,0.54,,79337856,31.41,242.856,72.7,27.3,12288,,,,0.8,,OK
3e_decode_ctx,ctx4096,8b,mode=decode  ctx=4096  kv=0.54GB  true_decode_tps,1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,4096,32,8192,True,31585698,1504247808,2605920256,76.9709,91.1124,62.8294,19.62,0.475462,1.70581,4.12516,memory-bound,5739.0,1302960.0,31585700.0,1013.12,0.0952,0.0825,524.288,4.12,0.58,,81435008,28.28,227.036,64.9,35.1,12288,,,,1.0,,OK
3e_decode_ctx,ctx8192,8b,mode=decode  ctx=8192  kv=1.07GB  true_decode_tps,1.0,256,256,True,2,3,1,64,4,64,1,2.0,200,4096,4096,True,True,256,256,decode,16,2048,64,8192,32,8,4,8192,32,8224,True,37877154,1772683264,2740137984,80.7961,92.5887,69.0035,16.5882,0.677649,2.80665,3.61714,memory-bound,6763.0,1370070.0,37877200.0,844.836,0.0936,0.0723,524.288,3.62,0.65,,85629312,23.59,202.583,53.3,46.7,12288,,,,1.4,,OK


# ===== CALIBRATION REFERENCE =====
# Metric : hbm_util_pct = hbm_bw_achieved / hbm_bw_peak
# Target : ±20% of pub_hbm_util_pct  with  stage_double_buffer=ON
# NOT absolute TPS (single array ≠ full GPU)
# chip,hbm_bw_tb_s,pub_bs1_tps,pub_hbm_util_pct
# H100_SXM5,3.35,120,64.5
# A100_SXM4,2.0,70,63.0
# TPUv4_chip,1.2,60,90.0
